rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0.05231,-0.082023,0.422118,0.075501,-0.457774,1.283355,2.372299,0.821132,5
0.045617,-0.406505,0.313095,0.112482,-0.021494,0.938216,2.21456,0.782848,6
0.100512,-0.431046,0.194672,-0.301056,-0.137607,2.911988,2.611893,0.962999,8
0.065054,0.15419,0.396655,0.26844,-0.329644,2.28701,1.379911,0.496352,6
0.453049,-0.494238,0.254866,0.191849,0.22627,5.713192,6.643317,0.565205,5
0.188485,0.331066,-0.296442,0.225215,-0.399487,1.277463,5.485577,0.800689,5
0.336544,-0.412701,0.316354,0.370378,0.066595,1.671805,8.323246,0.750813,7
0.129964,-0.083805,0.187622,0.450299,0.053026,0.506029,4.386199,0.687778,5
0.083236,-0.348401,-0.043795,0.475329,0.490886,1.326878,3.049364,0.779946,5
0.387344,-0.199645,0.06214,-0.156215,-0.323652,9.345908,4.080907,0.748334,6
0.0009,-0.434651,0.155295,-0.201784,-0.425662,0.501049,0.351948,0.601253,7
0.067376,0.452619,0.06761,0.18448,0.453785,2.328188,2.075953,0.672557,7
0.0213,-0.281322,0.31673,-0.232359,-0.022888,0.770039,1.87069,0.432741,7
0.178027,0.160558,-0.126576,0.108457,-0.353615,4.127418,1.558563,0.366688,5
0.421301,-0.449111,0.099455,-0.418899,-0.303508,7.785174,8.126263,0.771419,6
0.110265,0.209235,-0.329839,-0.36867,-0.413025,1.95175,2.252679,0.565265,5
0.155569,0.247535,0.411837,0.331429,0.445762,5.235659,0.464456,0.606743,8
0.042365,0.088914,-0.101094,-0.126634,0.298241,1.643002,1.523741,0.731799,6
0.036941,0.485267,-0.068693,-0.169698,0.381133,0.847171,0.828574,0.394355,6
0.143236,-0.141226,0.110365,-0.084996,0.314954,0.794307,4.00983,0.66023,5
0.069612,-0.335169,-0.428984,0.060117,-0.417514,0.734704,3.530695,0.477219,7
0.266295,-0.005975,0.187195,0.139641,0.446662,6.508472,3.433366,0.668931,8
0.025226,0.406685,0.14936,-0.440262,-0.060162,1.032003,0.529568,0.458241,7
0.143068,-0.281213,0.155887,0.39087,-0.053488,0.025117,5.117979,0.831093,7
0.004428,0.457909,-0.242994,0.317927,0.402405,0.621891,1.317795,0.783634,7
0.475599,0.460824,0.24892,0.291467,-0.098761,1.774414,9.93375,0.382708,8
0.105839,-0.177747,0.109048,0.057278,-0.055863,2.96011,2.17548,0.883803,6
0.249799,0.023251,-0.407658,0.243309,-0.336207,1.981934,3.941344,0.421374,5
0.161196,-0.349229,0.451645,0.192803,-0.322296,3.425184,4.328706,0.698558,7
0.22807,0.188466,-0.200221,0.152511,-0.023109,2.79587,4.035734,0.67739,7
0.080386,-0.024903,-0.147946,0.229176,0.330842,1.874998,3.534058,0.538053,6
0.057989,0.161752,-0.237428,0.466885,0.224701,2.063231,1.684463,0.472631,8
0.250111,0.210065,0.409432,0.477375,-0.060564,5.357645,2.467029,0.513688,5
0.445356,0.122236,-0.093647,-0.248002,0.256822,12.649903,1.805576,0.407045,7
0.144279,0.131784,-0.193143,0.012426,-0.172345,0.688439,4.040511,0.468191,7
0.00309,-0.019933,0.430482,0.102052,0.412771,0.12735,0.26623,0.39161,5
0.205179,0.251351,0.188088,-0.444955,0.260213,2.752241,2.012602,0.407148,7
0.052285,-0.207024,-0.127747,-0.160392,-0.06515,2.649607,1.699815,0.680893,7
0.194669,0.106148,0.234014,-0.438851,0.02515,3.965717,2.757508,0.668857,7
0.071641,0.439849,0.140227,-0.40153,0.277973,1.405226,2.603514,0.861918,5
0.028332,0.306338,0.475122,0.36631,-0.455113,2.325481,0.118907,0.629994,8
0.104718,0.348157,0.400435,0.136098,-0.481311,2.916727,2.086538,0.827284,7
0.38593,-0.389303,-0.408027,-0.149514,-0.407537,10.537711,0.71307,0.70046,6
0.217406,0.204036,0.091068,-0.228273,-0.359728,1.39442,3.063188,0.292971,5
0.262804,0.298389,0.226753,-0.246685,-0.244754,6.131603,2.256315,0.754741,6
0.0,-0.110461,-0.470868,-0.231936,-0.175351,0.059687,0.11403,0.70741,8
0.009793,-0.0238,-0.425988,0.338774,-0.121583,2.224138,0.107708,0.539902,6
0.0,0.173306,-0.058579,0.403074,-0.446252,0.070669,0.027217,0.566027,6
0.346789,0.417903,0.038233,0.470347,-0.100988,7.283101,5.593353,0.932234,6
0.016748,0.302925,-0.17431,-0.094721,-0.015987,0.080151,1.45768,0.535158,5
0.236176,-0.054652,0.332305,-0.221989,0.310871,6.781449,3.116374,0.798927,7
0.07477,0.174512,-0.43235,0.221935,-0.233622,1.791561,2.055299,0.407684,5
0.084699,0.301852,-0.242453,0.437617,-0.083144,3.990831,1.441521,0.866283,5
