rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0.014054,0.124891,0.264893,0.02074,-0.012756,0.168714,2.559247,0.551531,8
0.19462,0.283293,0.055617,-0.138363,-0.143812,0.338656,6.531517,0.343759,8
0.188485,0.331066,-0.296442,0.225215,-0.399487,1.277463,5.485577,0.800689,5
0.02848,-0.283734,0.112755,0.476897,0.046405,1.976248,1.43494,0.70524,8
0.112815,-0.407409,-0.475696,-0.144973,-0.098923,0.04787,5.78218,0.68704,5
0.394027,-0.345715,0.158697,0.341677,0.469031,10.830407,1.384672,0.433025,6
0.421301,-0.449111,0.099455,-0.418899,-0.303508,7.785174,8.126263,0.771419,6
0.00613,-0.49651,0.101483,0.279753,0.067677,1.231663,0.009429,0.385035,5
0.025226,0.406685,0.14936,-0.440262,-0.060162,1.032003,0.529568,0.458241,7
0.060195,0.165741,0.32386,0.202975,0.08076,0.439157,3.758756,0.787557,5
0.057989,0.161752,-0.237428,0.466885,0.224701,2.063231,1.684463,0.472631,8
0.106132,-0.126061,-0.010161,0.203053,-0.134533,2.530517,3.168152,0.4858,5
0.151948,-0.104302,0.178387,0.449938,0.342727,3.058603,2.749729,0.696602,7
0.55524,-0.199344,-0.270005,-0.350766,0.11459,2.441973,13.689419,0.226437,6
0.104718,0.348157,0.400435,0.136098,-0.481311,2.916727,2.086538,0.827284,7
0.189266,0.442562,-0.113647,-0.222019,0.441453,5.194884,0.353212,0.594022,8
0.096457,-0.307021,-0.13938,0.084144,0.260069,4.368862,1.251931,0.280974,6
0.216995,0.244856,0.173748,-0.44453,-0.26371,4.467052,3.554346,0.936585,8
0.38172,0.032538,0.244951,-0.200431,-0.028032,11.698254,0.611294,0.756974,7
0.480247,0.148641,-0.010976,0.366369,-0.386664,12.558642,4.366178,0.661477,7
0.007149,0.035378,-0.376378,0.32322,-0.165026,0.046808,0.591162,0.453427,6
0.007895,-0.020415,-0.239099,-0.019876,0.003812,0.136204,1.38529,0.555972,5
0.001867,-0.496797,0.430993,0.100563,-0.329121,0.386902,0.215462,0.930411,6
0.097545,-0.207983,0.429736,0.097499,-0.010628,2.368577,3.391895,0.709641,8
0.01903,-0.270502,-0.168965,0.363235,-0.262704,2.980645,0.140282,0.802023,8
