HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
50.0,1.834,0.0,19.58,1,0.605,7.802,98.2,2.041,5,403,14.7,389.609,1.92
35.2,0.222,20.0,6.96,1,0.464,7.691,51.8,4.366,3,223,18.6,390.77,6.58
14.4,1.629,0.0,21.89,0,0.624,5.019,100.0,1.439,4,437,21.2,396.898,34.41
5.0,38.352,0.0,18.1,0,0.693,5.453,100.0,1.49,24,666,20.2,396.898,30.59
41.7,0.575,0.0,6.2,0,0.507,8.337,73.3,3.838,8,307,17.4,385.908,2.47
22.2,0.11,25.0,5.13,0,0.453,6.456,67.8,7.225,8,284,19.7,396.898,6.73
15.2,1.232,0.0,8.14,0,0.538,6.142,91.7,3.977,4,307,21.0,396.898,18.72
12.1,9.596,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,376.109,20.31
18.4,0.773,0.0,8.14,0,0.538,6.495,94.4,4.455,4,307,21.0,387.939,12.8
19.8,0.245,0.0,9.9,0,0.544,5.782,71.7,4.032,4,304,18.4,396.898,15.94
22.0,0.113,30.0,4.93,0,0.428,6.897,54.3,6.336,6,300,16.6,391.25,11.38
23.9,0.083,0.0,13.92,0,0.437,6.127,18.4,5.503,4,289,16.0,396.898,8.58
15.6,0.976,0.0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31
9.7,11.578,0.0,18.1,0,0.7,5.036,97.0,1.77,24,666,20.2,396.898,25.68
34.9,0.084,45.0,3.44,0,0.437,7.185,38.9,4.567,5,398,15.2,396.898,5.39
19.6,1.193,0.0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,396.898,12.26
20.1,0.14,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384,20.9,392.689,12.33
37.3,0.079,80.0,4.95,0,0.411,7.148,27.7,5.117,4,245,19.2,396.898,3.56
24.1,0.079,0.0,12.83,0,0.437,6.273,6.0,4.251,5,398,18.7,394.92,6.78
19.4,0.264,0.0,8.56,0,0.52,6.229,91.2,2.545,5,384,20.9,391.229,15.55
22.6,0.136,0.0,10.59,0,0.489,5.891,22.3,3.945,4,277,18.6,396.898,10.87
22.6,4.261,0.0,18.1,0,0.77,6.112,81.3,2.509,24,666,20.2,390.738,12.67
19.4,2.149,0.0,19.58,0,0.871,5.709,98.5,1.623,5,403,14.7,261.949,15.79
17.8,8.983,0.0,18.1,1,0.77,6.212,97.4,2.122,24,666,20.2,377.729,17.6
25.0,4.542,0.0,18.1,0,0.77,6.398,88.0,2.518,24,666,20.2,374.559,7.79
29.0,0.056,70.0,2.24,0,0.4,7.041,10.0,7.828,5,358,14.8,371.578,4.74
21.9,3.697,0.0,18.1,0,0.718,4.963,91.4,1.752,24,666,20.2,316.029,14.0
22.6,0.084,0.0,4.05,0,0.51,5.859,68.7,2.702,5,296,16.6,393.229,9.64
23.7,0.082,30.0,4.93,0,0.428,6.481,18.5,6.19,6,300,16.6,379.408,6.36
23.4,0.05,21.0,5.64,0,0.439,5.998,21.4,6.815,4,243,16.8,396.898,8.43
10.2,14.334,0.0,18.1,0,0.7,4.88,100.0,1.589,24,666,20.2,372.92,30.62
24.1,0.079,60.0,1.69,0,0.411,6.579,35.9,10.71,4,411,18.3,370.779,5.49
31.5,0.442,0.0,6.2,0,0.504,6.552,21.4,3.375,8,307,17.4,380.34,3.76
16.5,0.025,0.0,1.89,0,0.518,6.54,59.7,6.267,1,422,15.9,389.959,8.65
17.8,0.545,0.0,21.89,0,0.624,6.151,97.9,1.669,4,437,21.2,396.898,18.46
5.0,67.92,0.0,18.1,0,0.693,5.683,100.0,1.425,24,666,20.2,384.969,22.98
24.4,0.14,22.0,5.86,0,0.431,6.487,13.0,7.397,7,330,19.1,396.279,5.9
25.0,0.198,0.0,10.59,0,0.489,6.182,42.4,3.945,4,277,18.6,393.629,9.47
22.0,0.058,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.209,8.1
10.5,24.394,0.0,18.1,0,0.7,4.652,100.0,1.467,24,666,20.2,396.898,28.28
23.9,0.045,25.0,4.86,0,0.426,6.619,70.4,5.401,4,281,19.0,395.629,7.22
30.3,0.047,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.309,8.61
8.3,15.86,0.0,18.1,0,0.679,5.896,95.4,1.91,24,666,20.2,7.68,24.39
12.7,13.36,0.0,18.1,0,0.693,5.887,94.7,1.782,24,666,20.2,396.898,16.35
13.1,1.152,0.0,8.14,0,0.538,5.701,95.0,3.787,4,307,21.0,358.77,18.35
25.0,0.054,21.0,5.64,0,0.439,6.511,21.1,6.815,4,243,16.8,396.898,5.28
