HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
50.0,6.539,0.0,18.1,1,0.631,7.016,97.5,1.202,24,666,20.2,392.049,2.96
11.7,8.792,0.0,18.1,0,0.584,5.565,70.6,2.063,24,666,20.2,3.65,17.16
36.2,0.069,0.0,2.46,0,0.488,6.144,62.2,2.598,3,193,17.8,396.898,9.45
15.6,3.535,0.0,19.58,1,0.871,6.152,82.6,1.745,5,403,14.7,88.01,15.02
29.6,0.06,0.0,2.46,0,0.488,6.153,68.8,3.28,3,193,17.8,387.109,13.15
16.3,28.656,0.0,18.1,0,0.597,5.155,100.0,1.589,24,666,20.2,210.97,20.08
48.3,0.331,0.0,6.2,0,0.507,8.247,70.4,3.652,8,307,17.4,378.949,3.95
20.6,0.043,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.898,10.59
19.4,0.262,0.0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,396.299,11.72
19.4,2.149,0.0,19.58,0,0.871,5.709,98.5,1.623,5,403,14.7,261.949,15.79
8.5,41.529,0.0,18.1,0,0.693,5.531,85.4,1.607,24,666,20.2,329.459,27.38
21.1,0.04,0.0,5.19,0,0.515,6.037,34.5,5.985,5,224,20.2,396.898,8.01
17.5,0.031,0.0,4.39,0,0.442,6.014,48.5,8.014,3,352,18.8,385.639,10.53
18.9,0.014,75.0,4.0,0,0.41,5.888,47.6,7.32,3,469,21.1,396.898,14.8
19.3,0.212,0.0,8.56,0,0.52,6.137,87.4,2.715,5,384,20.9,394.469,13.44
17.1,9.724,0.0,18.1,0,0.74,6.406,97.2,2.065,24,666,20.2,385.959,19.52
50.0,8.267,0.0,18.1,1,0.668,5.875,89.6,1.13,24,666,20.2,347.879,8.88
29.1,0.014,60.0,2.93,0,0.401,6.604,18.8,6.22,1,265,15.6,376.699,4.38
31.2,0.03,55.0,3.78,0,0.484,6.874,28.1,6.465,5,370,17.6,387.969,4.61
37.2,0.058,0.0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.898,5.04
