usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
71,9,0,3841,487,410,7.741418130937714,2.1688437693886673,370563,95208,1.997828557634514,8119,1839809
72,9,0,3861,485,414,7.782722639471936,2.174429891275094,372930,96047,2.039822264053996,8208,1836493
72,10,0,3880,484,409,7.790076941952128,2.1748383734118835,368626,93107,2.0426966958760264,8225,1833217
72,10,0,3889,487,420,7.792253061699596,2.2105847878112654,367487,92801,2.0486744548985896,8222,1837856
72,10,1,3790,493,413,7.812141076055229,2.2076305766552347,372474,89174,2.0120738648651995,8206,1836838
76,43,48,5498,435,389,2.406718988678616,2.044209326735525,300427,236672,3.964063316389213,2393,1644997
75,43,48,5551,438,394,2.3561183656045377,1.9697913097149515,302086,237204,4.022620550941745,2461,1647841
76,42,48,5498,439,388,2.450579361120624,2.032787604910321,309360,234444,3.978006390959302,2479,1643773
76,42,47,5589,438,392,2.395615717304693,1.9936125598504653,304760,237393,4.009477156880637,2498,1647653
75,43,47,5510,439,398,2.4357846692027016,2.014471505010562,304016,241870,4.002903404963601,2556,1644252
84,8,0,4603,445,506,13.80218285838935,2.268566025221391,283199,19301,2.37922809186821,7216,1875736
77,8,0,3193,442,385,8.02,2.0,278616,17581,2.0,7216,1866756
76,7,0,3219,441,385,7.9907179189715,2.0045186733564533,276497,17764,1.962864357841229,7166,1863888
83,11,0,3402,675,537,8.223777922211417,2.207113613148944,284681,19971,2.3814797308445725,7220,1869720
77,8,0,3193,442,385,8.02,2.0,278616,17581,2.0,7216,1866756
76,11,0,2976,400,330,8.057615497750334,3.845060764907439,271233,78311,4.553240556229551,134,1722507
77,10,0,2962,394,339,8.036279976370688,3.760352740894006,267331,82689,4.600298708953892,205,1720470
77,11,0,3010,396,342,8.019953530893924,3.814619492369402,266943,79041,4.576395036214915,240,1722652
77,11,0,2947,403,330,8.010612950599903,3.7949643055720994,266325,83633,4.599158470215417,197,1722414
76,10,0,2960,403,336,8.010491058042275,3.8077391861288703,268066,80326,4.554065932807958,388,1721626
78,14,5,5744,583,274,3.39,2.59,389123,235864,5.4,1434,1615471
78,13,4,5750,583,275,3.4570461056458988,2.571212666549962,389723,235709,5.377489713733647,1476,1617590
77,14,5,5753,578,271,3.345577376195562,2.6180910948955622,387918,234729,5.40599288503715,1453,1617318
78,14,5,5744,583,274,3.39,2.59,389123,235864,5.4,1434,1615471
78,14,5,5759,583,273,3.3618457428044506,2.564315120605529,387522,239597,5.400133249913922,1423,1614135
77,7,0,4398,570,1458,6.872373221972572,2.787569233445324,262437,88012,4.58245069843796,1455,1715528
79,7,0,3812,511,980,5.852428651377838,1.5467884534391656,234835,90656,4.206660834665424,913,1704995
77,10,0,4311,571,1485,6.890134153771576,2.5618534844435294,269268,88290,4.363014528587741,1390,1721459
78,6,0,3790,507,977,5.829955158192426,1.587554882992565,232367,85605,4.152079589352223,983,1703310
78,7,0,4382,605,1348,6.109371340801168,2.893523048477409,234995,92761,4.382199052212041,1244,1708391
79,2,0,881,74,209,1.9256499457818983,2.6024037513680756,265668,61986,2.8200142578073466,2224,1792911
79,3,0,835,76,212,2.0046547142045386,2.5864429319417264,272193,61044,2.784507199293349,2320,1798066
80,3,0,862,78,209,2.0,2.6,267700,63938,2.8,2242,1796314
80,3,0,862,78,209,2.0,2.6,267700,63938,2.8,2242,1796314
80,3,0,862,78,209,2.0,2.6,267700,63938,2.8,2242,1796314
80,5,0,2883,515,339,4.743124519284711,2.0600928758563555,330253,186891,6.794451707832489,3515,1595563
80,5,0,2856,513,338,4.7132372542574155,1.9300655461336818,329408,184685,6.815017842099028,3636,1595404
80,5,0,2866,511,340,4.773553558759549,2.016996382362747,331481,186356,6.8296202091343385,3613,1595803
80,4,0,2846,513,342,4.82652438073765,2.016023235794148,328503,188694,6.7841156699719924,3597,1595685
80,5,0,2846,512,341,4.8,2.0,330346,186516,6.8,3606,1596098
79,11,7,1420,134,80,0.6153659681458106,2.425336760804911,509438,190809,4.009814212666735,580,1514249
80,12,7,1427,135,80,0.6154454633928478,2.451346755180887,512537,193338,3.99446834705616,620,1513824
80,12,8,1447,138,87,0.5558216561088665,2.4005627643987775,514442,187194,3.961049625898623,619,1510181
82,13,9,2476,377,118,1.1913409534843575,2.7576137092823436,535666,199945,4.772713246817103,645,1536221
80,11,7,1445,134,81,0.5346126811676828,2.3336056538755243,513438,192055,3.9854740140477993,617,1510095
82,2,1,3459,155,114,0.2,0.2,307158,19356,3.779187904967203,700,1757906
81,2,0,2702,143,91,0.20576340007725802,0.22173499123937335,305017,17808,3.0177196705357705,791,1755699
82,2,1,3207,181,128,0.2,0.2,305942,20226,3.691219764512075,708,1757941
81,2,0,2708,146,90,0.2675276898931386,0.19154941367282063,306034,19807,2.9900122344098046,650,1757462
80,1,0,2665,145,91,0.13334870760992967,0.2216534020664066,301152,13097,2.9899176149797944,704,1756751
82,4,1,720,104,58,3.0,10.0,428343,242223,3.8,3709,1807547
81,4,0,696,103,62,2.913940108226147,10.040040716664256,425971,242504,3.8104336651852537,3727,1808921
82,3,1,731,103,63,3.0909973603240686,10.02231003624395,425649,241868,3.785656549170675,3672,1807134
82,4,0,726,106,57,3.014202124971669,10.000762073085134,424317,241099,3.79016296871499,3676,1806251
82,4,1,720,104,58,3.0,10.0,428343,242223,3.8,3709,1807547
83,7,2,1948,302,236,5.59,2.2,390970,260428,2.4,3458,1815641
82,6,1,1963,297,235,5.584308570049299,2.2577600246142056,388554,260489,2.411344173613204,3424,1817187
82,7,1,1980,299,232,5.5779628236851755,2.2617543738816734,390371,258355,2.418842067009846,3549,1814366
85,8,7,2455,354,320,9.115641733289003,2.5337112386481575,391362,269642,2.8473609251624197,3460,1817772
83,7,2,1918,298,235,5.556749515457544,2.2108786976785195,390638,259553,2.4494382339704384,3420,1815377
83,14,12,3944,338,345,3.040815913973178,1.386714979553896,318415,338989,4.177891271953843,1470,1615558
82,15,12,3955,334,349,3.0231636396718105,1.3530520245003048,320814,341001,4.221695298080423,1409,1613508
82,15,11,3966,338,345,2.968679846168871,1.4290718066881214,320510,343481,4.1889306730803835,1474,1615236
82,15,11,3964,337,348,3.0085827412546378,1.465564001271037,318503,342473,4.2091996267529606,1473,1616964
83,15,12,3957,339,346,3.0,1.4,321703,342201,4.2,1406,1614402
83,3,1,2427,144,164,1.5375744071056114,2.25220163650811,204313,239059,2.4147861277581795,8257,1879489
84,3,1,2424,149,161,1.6,2.2,204632,239445,2.4,8289,1877581
83,2,0,2351,147,163,1.6173035209022073,2.1901486222016575,199976,238801,2.4143993226819185,8359,1878459
84,3,0,2397,152,157,1.638043342012346,2.188752307399635,203742,240186,2.3615400442066763,8288,1879286
84,3,0,2419,148,159,1.5985674028529826,2.204447182354818,205194,242565,2.3794594762629453,8220,1879266
83,3,0,558,70,30,2.6073273569965587,2.6394541453404763,277571,40612,2.4261351557647926,11025,1874956
84,4,1,572,74,30,2.6,2.6,273984,39153,2.4,11040,1872051
82,5,1,766,182,253,4.566604408395641,2.602890950421445,277221,48678,2.6875009183402003,13987,1872668
84,4,1,572,74,30,2.6,2.6,273984,39153,2.4,11040,1872051
83,4,0,606,75,25,2.644451443670089,2.5787051130801495,276918,38587,2.403128932938564,11008,1871079
84,14,0,1880,398,309,1.7726018485202915,4.011911220346823,525468,133816,3.4091552944999353,551,1698216
84,14,1,1923,403,314,1.8,4.0,522927,132931,3.4,514,1698622
84,13,1,1926,404,314,1.7877920941853331,3.98702076132855,521950,129995,3.397750666446288,537,1697310
84,13,0,1908,407,316,1.8910021451200671,4.0033802425265055,525408,134791,3.368397902904188,556,1701547
84,13,1,1891,403,313,1.7833372177845959,3.9731682959181533,522073,131879,3.3370412966627874,502,1698604
83,0,0,2145,120,92,0.2,0.2,309334,19189,2.538792051368132,681,1757825
83,0,0,1131,112,66,0.2,0.2,308307,19138,2.614673751133241,677,1757795
84,0,0,1005,94,49,0.19570794043094963,0.17707955607560397,304163,18994,1.9671347503179875,709,1754538
84,0,0,992,88,50,0.19619943968728112,0.20229632529836822,307168,16055,1.992217451744237,673,1755351
85,0,0,964,94,50,0.2,0.2,307373,17623,2.0,666,1757760
86,1,0,420,78,46,0.25000546376487837,0.1544889176282338,326503,241874,2.815689533332851,79,1717782
86,1,0,397,76,50,0.19627536540636678,0.17064075542916995,325843,238523,2.779991236235315,99,1718500
86,0,0,343,77,50,0.14502205326098055,0.19023940029911943,324680,239486,2.8176508745668043,178,1716203
86,1,0,391,80,48,0.3250219610493885,0.17859863135120305,326188,238927,2.777800307094145,134,1716632
86,1,0,380,75,49,0.21619149018628186,0.11720439269232444,324357,239807,2.78240896904096,132,1715331
86,4,0,2139,192,76,2.8,4.0,254183,69772,1.8,218,1752714
85,4,0,2122,190,80,2.7626477973317094,4.0530145225876835,251775,69528,1.8036173494383345,184,1752326
86,4,0,2139,192,76,2.8,4.0,254183,69772,1.8,218,1752714
85,4,0,2141,190,75,2.7944291120389084,3.9620790285951326,254966,71596,1.7823248741930244,127,1751904
85,4,0,2112,193,72,2.756012349135712,4.046303806860148,250890,70480,1.8287564354125827,174,1748804
85,8,1,2809,392,223,2.0391708108320152,4.014324175801354,558786,57029,2.7909247289502424,2770,1728005
86,9,1,2810,386,220,1.9912335331697617,3.9871812504377293,563334,53434,2.7525562306325675,2834,1733511
85,8,1,2778,383,222,1.9996159494513488,4.0087222990865445,560448,53344,2.7691297272497333,2900,1727258
85,9,1,2810,389,220,1.9042951320801889,3.9888077913109967,561788,48510,2.7972917551420102,2783,1731566
86,9,1,2783,391,223,2.0,3.99,561054,53145,2.8,2783,1732179
86,74,31,1476,173,165,0.39297498387049307,0.4242702921719379,394236,276709,3.7960696930961793,186,1598534
85,74,32,1446,163,157,0.3513986672238114,0.41751797241904887,390912,279347,3.7886785222494987,251,1596030
85,75,31,1475,166,164,0.42598729248839756,0.41895626717245354,395425,271666,3.7913410080408663,242,1595712
86,75,31,1388,161,164,0.46198281528512625,0.40371828601504184,393087,277004,3.812903229748545,159,1595402
84,97,39,4023,189,204,3.289981828519411,1.7793388661293479,392790,289255,5.033715837173415,525,1605376
86,2,0,1042,238,115,1.228059946537637,1.6482276069314037,492806,145219,1.2212805116534544,3318,1741665
86,3,1,1084,236,123,1.2384951167214269,1.520623586427208,491889,151859,1.1968114295591519,3590,1741916
86,2,1,1009,237,125,1.2178922710951656,1.6209710168676643,494384,147668,1.2014170888863547,3391,1735710
87,2,0,1030,232,122,1.230553376350298,1.6494596884538657,494729,149871,1.2167355204886865,3285,1740127
87,2,0,1029,243,124,1.148863566627695,1.613854771363549,490526,152362,1.192357570519037,3483,1740215
86,20,12,2613,441,196,1.2146587904449389,1.2278740791993814,544431,132789,4.775632689717584,187,1542486
87,21,12,2591,441,199,1.2674288889152407,1.2364377490079583,544101,127956,4.777393174414948,270,1538549
87,21,12,2619,442,199,1.2,1.2,546478,130566,4.8,218,1540139
86,20,12,2603,439,201,1.1581657814279662,1.2903358442737818,546359,132219,4.790906023966182,276,1537205
86,20,12,2617,443,202,1.1871746672073726,1.1651843487047784,547366,125710,4.787800232505973,282,1540055
87,56,86,1426,119,70,0.4,0.4,444790,147764,3.4,1246,1714448
87,55,85,1453,122,73,0.3638437714224853,0.3895682907205554,441510,148099,3.3813940857244873,1205,1716034
86,55,85,1439,121,69,0.4198863217139458,0.4365347653326102,442907,146067,3.4240031319731328,1054,1715165
87,67,157,1748,177,100,0.8359792147544279,1.4356925333064638,462791,151168,5.120802488321021,1465,1739120
87,81,106,1565,198,97,0.439500854274224,0.7150206946041594,489663,148259,5.2739658227160895,2619,1734988
87,3,0,550,93,73,1.847630731896127,1.7587474854035983,243501,176282,2.055187631963468,3496,1820599
88,2,0,573,86,74,1.7697811665381782,1.7998458898594296,244676,176912,1.9929325391549382,3579,1824463
87,3,0,546,92,78,1.7978144375023122,1.818040894679714,246393,177378,1.9954047404930264,3607,1824376
87,3,1,564,92,66,1.8549236538219094,1.783439025482141,246497,176386,2.0143549843844637,3506,1818432
87,3,0,536,91,77,1.8008747928989866,1.8034268166101663,249161,176690,2.054263047522467,3492,1822042
88,3,0,638,83,44,2.2031255542367747,2.1667675227352046,319263,132698,1.6169752258179688,5554,1836575
88,3,1,650,83,43,2.2,2.2,317214,129335,1.6,5350,1840486
88,3,0,654,85,37,2.241042947416045,2.2104335762640392,313656,131019,1.5796432300214889,5362,1838961
87,2,0,663,87,44,2.1577829806370317,2.175855995796995,322815,128675,1.601353028414337,5336,1841972
88,3,1,654,85,42,2.24150528438911,2.2010396293177847,319130,129293,1.5718731551749776,5226,1841572
89,2,1,1803,238,58,0.8,2.0,544311,22882,2.6,6500,1823640
89,2,0,1788,243,62,0.8295965520422195,1.9910826636722219,541239,18951,2.6207038106292835,6466,1823643
89,1,1,1783,240,55,0.8030698679315362,2.043399713524454,544532,17141,2.5975038838101443,6443,1823461
89,1,1,1784,239,54,0.812817129911857,2.0419511416091876,542601,23398,2.59868361827352,6370,1825851
89,2,0,1790,241,56,0.7408764355856575,1.9422998196486139,545013,26221,2.5908251850335,6465,1822799
90,6,2,1036,103,114,1.0,1.0,172076,355965,2.0,6527,1851864
90,5,2,1080,106,114,1.013023730011573,1.029769626308383,173770,352278,1.9701660183835117,6495,1850362
89,5,2,1107,101,115,0.9981113205756516,0.9655962442212684,174597,354535,2.0062212334598852,6565,1852942
89,5,2,1002,106,114,1.0296172987003618,1.074209378789568,173253,357366,2.020448668801975,6531,1852671
90,6,2,1036,103,114,1.0,1.0,172076,355965,2.0,6527,1851864
91,1,0,607,162,44,0.6280696087301035,0.9860828934713503,476315,135140,2.9685280398833997,5976,1840595
90,0,1,618,151,39,0.6424241923414257,1.0133379525615642,478281,139283,2.9822941696053564,5961,1835189
91,1,1,600,158,41,0.6,1.0,476298,133721,3.0,6006,1835992
90,1,0,599,158,35,0.5807505915636437,1.0103618910276513,475814,130196,3.0407206380790357,5872,1836568
91,1,1,591,162,40,0.6019040100808353,0.9437678652064256,475983,135944,3.0106296618786366,6131,1837367
91,2,1,798,113,60,0.5358123609816672,1.2052965673709766,526742,298985,2.6355764906367165,3683,1812389
91,2,1,766,111,67,0.6440951943331801,1.2136090204613021,527073,302139,2.580201970811363,3608,1813674
91,3,1,725,109,63,0.6215765353245608,1.1845614706756404,528632,302343,2.586456895573582,3665,1812024
91,3,2,743,111,64,0.6,1.2,529504,300696,2.6,3672,1811698
90,3,1,725,105,62,0.5636558514672113,1.1873765539153285,526215,303153,2.6162549686225613,3804,1812837
91,6,2,2593,146,143,1.8354790850607203,3.392760845019493,261173,134369,4.360809298741544,1439,1637672
90,7,2,2580,142,141,1.8209235788318159,3.450665358346052,261232,135841,4.401340680285333,1426,1642078
91,6,1,2604,134,144,1.7890575530985988,3.4450667043112038,263364,138711,4.4056049830881765,1425,1642100
91,7,2,2606,145,145,1.769394969086354,3.4541709351806795,258039,136316,4.401418353543128,1490,1637429
90,6,2,2590,143,139,1.8459158635485167,3.4453391609536874,260985,134912,4.418042826013833,1466,1639990
92,0,0,3634,230,129,0.4206106425265551,0.5663257536198968,353424,239909,5.372776101487066,1672,1619589
91,0,0,3696,230,134,0.40888827067951433,0.5246100823615192,350525,240746,5.428636018099743,1580,1615714
92,0,0,3657,229,124,0.4004412985652291,0.5873941471742344,347291,244216,5.372400778473346,1548,1615580
91,0,0,3654,227,131,0.36351167632458015,0.5992678677079085,348710,243328,5.402370599837843,1700,1618282
92,0,0,3626,230,131,0.3644046744723096,0.600601287371272,352584,241580,5.40234814074448,1601,1617187
92,0,0,265,57,26,0.19833009618172595,0.16489179602144094,253753,4743,1.7732331574914741,408,1745213
92,0,0,292,56,19,0.24001256083087513,0.15767407697309338,256779,4897,1.8315711472441376,459,1748489
92,0,0,290,59,20,0.19500058498585388,0.2369738524866246,258540,2554,1.7867038691037311,360,1748670
91,1,0,322,58,19,0.2059393250736088,0.11934439412453766,255973,8150,1.7896115574557412,446,1748858
92,1,0,276,55,26,0.18319332698799087,0.15774623519230177,253401,2412,1.8036232421628262,626,1744906
91,1,0,2719,168,149,0.8024061217765829,0.9558226493215147,750043,24045,2.7594046694304115,355,1709630
91,1,0,2768,168,155,0.7914565039600634,1.0402499786018762,745868,22163,2.7991310052656315,299,1710941
92,1,0,2743,172,147,0.8948195692852435,0.990521670719201,749675,23403,2.7851292653684925,234,1706714
92,1,0,2736,170,151,0.799018205155537,1.0036993110794856,746541,27724,2.785670185219465,190,1705078
92,1,0,2716,167,149,0.879697043838667,0.9726060411680502,749430,24046,2.81290135349196,278,1713518
91,30,27,373,77,63,0.2001421464731906,0.1798875045491635,411697,287369,3.4055567318027116,4166,1822660
92,30,26,372,79,58,0.11204365335207166,0.19495442256090176,406199,283321,3.4002163483788745,4065,1823916
91,30,26,388,80,59,0.19951401373608235,0.2210682555267174,411734,287617,3.3900835731066588,4250,1823317
92,31,27,366,80,62,0.2,0.2,412220,287099,3.4,4179,1824024
91,31,26,391,81,60,0.2520830727735951,0.19409036090814932,415505,287057,3.3679318062829195,4184,1823104
93,0,0,1313,96,42,0.4,2.2,370096,44139,1.4,6675,1825160
92,0,0,1335,98,43,0.39549193096628765,2.2048928263885164,367679,42571,1.4324846221917658,6630,1823985
