heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
27.55,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,4.0,4200
32.33,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,5.5,3500
85.19,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,15.0,3500
27.6,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,5.0,3500
23.5,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,4.5,2500
89.57,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,12.0,3500
59.04,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,6.5,4200
28.3,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,10.0,100
64.86,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,20.0,100
57.16,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,9.5,3500
61.05,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,19.0,100
11.45,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,3.0,1500
42.41,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,7.0,3000
36.46,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,11.0,1500
63.19,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,6.5,5000
20.49,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,7.0,2000
18.9,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,7.5,100
14.14,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,5.5,100
59.14,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,18.5,100
18.59,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,11.0,100
63.12,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,16.5,3000
47.63,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,15.5,100
27.98,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,7.5,2500
95.18,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,8.0,5000
21.45,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,8.0,5000
54.71,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,14.5,1000
88.81,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,11.0,4500
19.44,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,7.0,100
50.05,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,9.0,3000
27.66,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.0,3500
28.74,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,10.0,1000
23.8,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.0,3500
13.22,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.5,2000
90.03,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,15.5,5000
74.94,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,15.5,4500
7.36,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.5,2500
26.62,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,6.5,2000
8.12,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,2500
7.5,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,4500
25.3,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,3.0,4200
66.95,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,3.0,5000
37.69,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,12.5,2000
5.01,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,2.0,100
