heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
20.23,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,3.5,3500
21.57,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,2.5,3500
85.19,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,15.0,3500
129.49,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,11.5,5000
82.38,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,15.0,3000
26.14,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,4.5,2500
87.28,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,6.5,5000
52.72,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,6.0,5000
22.63,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,8.5,1500
20.49,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,7.0,2000
18.9,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,7.5,100
28.44,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,16.5,3000
77.94,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,16.0,4500
6.62,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,3.5,100
74.84,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,14.0,2500
25.71,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,2.0,3000
2.16,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.5,1000
75.15,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,16.5,2000
59.14,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,18.5,100
18.59,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,11.0,100
63.12,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,16.5,3000
33.45,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,20.0,1000
62.7,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,10.5,2500
24.88,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,13.5,100
32.18,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,16.0,100
24.54,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,4.0,2500
100.04,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,8.0,5000
65.88,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,17.0,2000
21.45,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,8.0,5000
54.71,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,14.5,1000
9.27,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,5.0,1500
34.4,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,4.0,4000
33.21,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,14.0,1500
