Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
10001,2001,10/01/2001,Brooklyn,31 COTE DR,61810.0,82000.0,0.753780488,NaN,NaN,NaN,NaN,NaN,NaN
10001,2001,10/01/2001,Old Saybrook,7 S VIEW TER,147000.0,270000.0,0.544444444,NaN,NaN,NaN,NaN,NaN,NaN
10001,2001,10/02/2001,Killingly,60 BREAKNECK HILL RD,41590.0,83900.0,0.495709178,NaN,NaN,NaN,NaN,NaN,NaN
10004,2001,10/10/2001,Bethany,27 VIRGINIA RAIL DR,243750.0,0.0,0.0,NaN,NaN,2,NaN,NaN,NaN
10006,2001,11/06/2001,Union,BIGELOW HOLW RD,14740.0,7000.0,2.105714286,NaN,NaN,12,NaN,NaN,NaN
10009,2001,10/03/2001,Waterford,10 LEARY DR,116250.0,275000.0,0.422727273,NaN,NaN,NaN,NaN,NaN,NaN
10010,2001,10/30/2001,Harwinton,275 HILL RD,112350.0,220000.0,0.510681818,NaN,NaN,NaN,NaN,NaN,NaN
10011,2001,10/05/2001,New London,461 OCEAN AVE,145670.0,160000.0,0.9104375,NaN,NaN,NaN,NaN,NaN,NaN
10011,2001,10/17/2001,Weston,4 OLD REDDING RD,284060.0,600000.0,0.473433333,NaN,NaN,7.0,NaN,NaN,NaN
10011,2010,12/13/2010,Salem,740 WEST ROAD,21600.0,50000.0,0.432,NaN,NaN,NaN,NaN,NaN,NaN
10015,2001,03/28/2002,Canaan,141 BELDEN ST,92400.0,280000.0,0.33,NaN,NaN,NaN,NaN,NaN,POINT (-73.36096 41.9938)
10015,2001,11/13/2001,Windsor Locks,91 SPRING ST,99500.0,184000.0,0.54076087,NaN,NaN,NaN,NaN,NaN,POINT (-72.63459 41.93079)
10016,2001,04/30/2002,Union,CEMETERY RD,60730.0,0.0,0.0,NaN,NaN,15,NaN,NaN,NaN
10017,2001,11/01/2001,Somers,202 ROOT RD,44100.0,85000.0,0.518823529,NaN,NaN,NaN,NaN,NaN,NaN
10019,2001,10/16/2001,Killingly,20 TAMARACK CIR,13770.0,12000.0,1.1475,NaN,NaN,8,NaN,NaN,NaN
10020,2001,10/26/2001,Ridgefield,44 KING LN,436850.0,1290000.0,0.338643411,NaN,NaN,7,NaN,NaN,NaN
10020,2001,11/01/2001,Thompson,27 OLD TPKE,57900.0,92500.0,0.625945946,NaN,NaN,NaN,NaN,NaN,NaN
10021,2001,01/10/2002,Morris,455 W MORRIS RD,224130.0,353000.0,0.634929178,NaN,NaN,NaN,NaN,NaN,POINT (-73.24977 41.70381)
10022,2001,10/02/2001,Stratford,60 HORTENSE ST LT 2,0.0,0.0,0.0,NaN,NaN,4,NaN,NaN,NaN
10023,2001,10/15/2001,East Hampton,6 BEVIN AVE,86710.0,113000.0,0.767345133,NaN,NaN,NaN,NaN,NaN,NaN
10023,2001,11/19/2001,New Hartford,2 LAURELWOOD POND LN,38500.0,79900.0,0.481852315,NaN,NaN,NaN,NaN,NaN,NaN
10024,2001,01/11/2002,Kent,80 N MAIN ST 3A3,72600.0,136500.0,0.531868132,NaN,NaN,NaN,NaN,NaN,POINT (-73.47559 41.72668)
10025,2001,10/16/2001,Bethel,245 GREENWOOD AVE,113460.0,190000.0,0.597157895,NaN,NaN,NaN,NaN,NaN,NaN
10027,2001,10/04/2001,Ridgefield,28 MEAD RDG RD,418550.0,725000.0,0.577310345,NaN,NaN,NaN,NaN,NaN,NaN
10028,2001,01/14/2002,Bolton,18 LUCKS WAY,39890.0,78000.0,0.511410256,NaN,NaN,NaN,NaN,NaN,NaN
10028,2001,01/31/2002,Sterling,363 SAWMILL HL RD,55370.0,122000.0,0.453852459,NaN,NaN,NaN,NaN,NaN,NaN
10029,2001,02/05/2002,Preston,21 BUNNY RD PRESTON,113200.0,210000.0,0.539047619,NaN,NaN,NaN,NaN,NaN,NaN
10031,2001,10/15/2001,Farmington,30 BRENTWOOD DR,122530.0,290000.0,0.422517241,NaN,NaN,NaN,NaN,NaN,NaN
10031,2001,11/01/2001,Ansonia,121 WAKELEE AVE,536550.0,650000.0,0.825461538,NaN,NaN,25,NaN,NaN,NaN
10034,2001,02/19/2002,Bolton,155 CAMP MEETING RD,180790.0,265000.0,0.682226415,NaN,NaN,NaN,NaN,NaN,POINT (-72.44434 41.76078)
